cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
14,922,6,12A204,1,40005,2,1,0,1,3,3,3,3,4,2,2,3,2,2,3,5,3,3,3,19918
14,922,6,12A204,1,40005,4,1,0,1,4,4,4,2,5,4,3,3,2,4,4,6,4,3,3,19918
14,922,6,12A204,1,40005,3,1,0,1,2,2,3,2,3,3,2,2,1,1,3,5,3,3,3,39835
14,922,6,12A204,1,40005,1,1,0,1,4,2,4,3,5,5,3,3,2,2,4,6,4,3,3,29876
14,922,2,11A218,1,40029,3,1,0,1,5,4,4,4,5,5,3,3,2,2,4,6,4,3,3,23146
14,922,2,11A218,1,40029,2,1,0,4,2,2,2,2,4,2,2,3,2,2,3,5,3,3,3,30861
14,922,2,11A218,1,40029,4,1,0,1,4,2,3,2,5,5,3,3,2,2,4,6,4,3,3,23146
14,922,2,11A218,1,40029,1,1,0,1,3,4,3,3,4,5,3,3,2,4,4,6,3,3,3,15431
14,922,2,12A218,1,40095,1,1,0,1,4,3,4,3,4,5,3,3,2,2,3,6,4,3,3,7055
14,922,2,12A218,1,40095,2,1,0,2,4,2,3,2,4,4,3,3,2,1,3,6,3,3,3,21164
14,922,2,12A218,1,40095,4,1,0,1,4,2,3,2,5,4,3,3,2,2,2,5,3,3,3,7055
14,922,2,12A218,1,40095,3,1,0,1,3,3,3,3,4,4,3,3,2,2,3,6,4,3,3,21164
14,922,5,12A205,1,40165,1,1,0,2,3,3,3,3,4,4,2,3,1,1,3,5,3,3,3,23916
14,922,5,12A205,1,40165,3,1,0,1,2,2,2,2,4,2,3,3,2,1,2,6,2,3,3,15944
14,922,5,12A205,1,40165,2,1,0,2,5,4,4,2,5,4,3,3,2,2,4,6,4,3,3,23916
14,922,5,12A205,1,40165,4,1,0,3,3,3,3,3,4,3,2,2,1,1,3,5,3,3,3,23916
14,922,1,12B211,1,40188,2,1,0,1,4,4,4,2,4,5,3,3,2,1,3,6,3,3,3,23397
14,922,1,12B211,1,40188,1,1,0,1,2,3,2,2,3,3,1,2,1,1,3,6,3,3,3,15598
