CVE,DESCRIP
1,Renglón uno de los integrantes del hogar
2,Renglón dos de los integrantes del hogar
3,Renglón tres de los integrantes del hogar
4,Renglón cuatro de los integrantes del hogar
5,Renglón cinco de los integrantes del hogar
6,Renglón seis de los integrantes del hogar
7,Renglón siete de los integrantes del hogar
8,Renglón ocho de los integrantes del hogar
9,Renglón nueve de los integrantes del hogar
10,Renglón diez de los integrantes del hogar
11,Renglón once de los integrantes del hogar
12,Renglón doce de los integrantes del hogar
13,Renglón trece de los integrantes del hogar
14,Renglón catorce de los integrantes del hogar
15,Renglón quince de los integrantes del hogar
16,Renglón dieciséis de los integrantes del hogar
17,Renglón diecisiete de los integrantes del hogar
18,Renglón dieciocho de los integrantes del hogar
19,Renglón diecinueve de los integrantes del hogar
20,Renglón veinte de los integrantes del hogar
21,Renglón veintiuno de los integrantes del hogar
22,Renglón veintidós de los integrantes del hogar
23,Renglón veintitrés de los integrantes del hogar
24,Renglón veinticuatro de los integrantes del hogar
25,Renglón veinticinco de los integrantes del hogar
26,Renglón veintiséis de los integrantes del hogar
27,Renglón veintisiete de los integrantes del hogar
28,Renglón veintiocho de los integrantes del hogar
29,Renglón veintinueve de los integrantes del hogar
30,Renglón treinta de los integrantes del hogar
