CVE,DESCRIP
0,Entrevista lograda
1,Nadie en el momento de las visitas
2,Ausente temporalmente
3,Se negó a dar información
4,Informante inadecuado
5,Otro motivo
6,Adecuada para habitarse
7,De uso temporal
8,Inadecuada para habitarse
9,De uso temporal para fines diferentes de habitación
10,Demolida
11,Cambió de sitio (móvil)
12,Uso permanente para fines diferentes a los de habitación
13,Otro motivo
14,No se encontró a la persona elegida
15,El elegido se negó a dar información
16,Elegido incapacitado para dar información
17,Hogar de menores de 18 años
