cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
"14","0722","001","3","271-9","0101180","14","12A215","01","40023","0058","3","1","0","00","2022-07-07","00","2022-07-08","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0722","001","3","271-9","0101180","14","12A215","01","40023","0082","4","1","0","00","2022-07-07","00","2022-07-08","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0722","001","3","271-9","0101180","14","12A215","01","40023","0015","1","1","0","00","2022-07-07","00","2022-07-08","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0722","001","3","271-9","0101180","14","12A215","01","40023","0036","2","1","0","00","2022-07-07","00","2022-07-08","1","-","-","05","1","","","02","02","-","05","00","00",""
"14","0722","001","7","228-2","0100809","14","12A201","01","40157","0093","4","1","0","00","2022-07-01","00","2022-07-05","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0722","001","7","228-2","0100809","14","12A201","01","40157","0076","3","1","0","00","2022-07-01","00","2022-07-05","1","-","-","04","1","","","04","03","-","04","00","00",""
"14","0722","001","7","228-2","0100809","14","12A201","01","40157","0047","2","1","0","00","2022-07-01","00","2022-07-05","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0722","001","7","228-2","0100809","14","12A201","01","40157","0032","1","1","0","00","2022-07-01","00","2022-07-05","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0722","001","6","401-A","0101965","14","13A202","01","40190","0196","3","1","0","00","2022-07-04","00","2022-07-05","1","-","-","03","1","","","02","02","-","03","00","00",""
"14","0722","001","6","401-A","0101965","14","13A202","01","40190","0120","4","1","0","00","2022-07-04","00","2022-07-05","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0722","001","6","401-A","0101965","14","13A202","01","40190","0158","2","1","0","00","2022-07-12","00","2022-07-19","1","-","-","04","1","","","02","01","-","04","00","00",""
"14","0722","001","6","401-A","0101965","14","13A202","01","40190","0035","1","1","0","07","2022-07-20","07","2022-07-20","1","-","-",""," ","","","","","-","","","",""
